"","tweet.datetime","text","user.description","total.favorites","total.followers","total.friends","user.location","user.name","screen.name","total.statuses","tweet.mentions","retweet.mentions","url","retweet.url","total.retweets"
"566","Thu Jul 30 14:08:34 +0000 2020","RT @MercolaFitness: Catch this week's best of podcast on hydration! 
https://t.co/D68mweHuoN","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,"MercolaFitness","MercolaFitness","https://podcasts.apple.com/us/podcast/best-of-series-hydration/id1286870871?i=1000486474674","http://fitness.mercola.com",16
"567","Wed Jul 29 21:20:07 +0000 2020","Two studies show that some sunscreen ingredients enter the bloodstream and accumulate, leading health officials to… https://t.co/Qj5b738gV5","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1288585116168728576",NA,90
"568","Wed Jul 29 16:41:19 +0000 2020","RT @MercolaFitness: Before you start working out, you should know what your fitness goals are. Learn how to set them here: https://t.co/qvd…","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,"MercolaFitness","MercolaFitness",NA,"http://fitness.mercola.com",9
"569","Wed Jul 29 16:41:09 +0000 2020","RT @MercolaFitness: Think it’s impossible to get a good quality workout in under 10 minutes? Think again! This guide will show you great wo…","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,"MercolaFitness","MercolaFitness",NA,"http://fitness.mercola.com",9
"570","Wed Jul 29 16:41:04 +0000 2020","RT @MercolaFitness: Ironically, energy drinks keep you awake while putting you at risk of long-term health problems. Here’s why you should…","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,"MercolaFitness","MercolaFitness",NA,"http://fitness.mercola.com",21
"571","Wed Jul 29 15:20:13 +0000 2020","Eight of every 10 deaths from COVID-19 have been in people 65 and older. 

⚠️ Twitter has BANNED my website!
✅ Visi… https://t.co/RjTozByha8","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1288494547509686281",NA,40
"572","Wed Jul 29 14:00:24 +0000 2020","Zinc ionophores block the replication of coronavirus in cell cultures.
https://t.co/2IQys7zD5S

Chloroquine, Querce… https://t.co/oqObJ2lH2L","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1001176",NA,181
"573","Wed Jul 29 11:15:13 +0000 2020","When you tear out a man's tongue, you are not proving him a liar, you're only telling the world that you fear what… https://t.co/D9AJWHzMfZ","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1288432891693858817",NA,314
"574","Wed Jul 29 10:20:09 +0000 2020","Are masks an effective way to reduce spread of Covid-19, or just another way to make you surrender to irrational me… https://t.co/0WjBnqgaM9","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1288419031347867648",NA,103
"575","Tue Jul 28 21:55:10 +0000 2020","Fishmeal and fish oil once made up about 90% of farmed Norwegian salmon feed, by 2016, only 10% of the fat in farme… https://t.co/0CXFVez7fY","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1288231549482262528",NA,49
"576","Tue Jul 28 16:55:11 +0000 2020","Health officials have stated that more than 60,000 people may die from influenza annually, but this is based on est… https://t.co/L64bQz819A","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1288156059107024897",NA,40
"577","Tue Jul 28 10:55:06 +0000 2020","With COVID-19 vaccine mania gripping the nation, numerous vaccine makers are vying to be first to market. 

⚠️ Twit… https://t.co/LRd218eekM","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1288065441282306048",NA,67
"578","Mon Jul 27 21:00:56 +0000 2020","It's an antimalarial compound being seriously considered against COVID-19. 

⚠️ Twitter has BANNED my website!
✅ Vi… https://t.co/F2ruj6DNZI","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1287855514865590278",NA,49
"579","Mon Jul 27 14:00:57 +0000 2020","Beets have a variety of nutritional benefits, including lowering blood pressure and improving athletic performance.… https://t.co/4wNjNIaL5j","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1287749821802192897",NA,44
